Keyword,Weight,Type
能源,93,High_DF
太阳能,51,High_DF
印度尼西亚,38,High_DF
电力,38,High_DF
发电,29,High_DF
投资,24,High_DF
煤炭,19,High_DF
地热,19,High_DF
绿色,16,High_DF
发电厂,16,High_DF
燃煤,16,High_DF
电厂,15,High_DF
燃料,14,High_DF
新能源,13,High_DF
天然气,13,High_DF
电站,13,High_DF
部长,11,High_DF
出口,10,High_DF
补贴,9,High_DF
资源,9,High_DF
屋顶,9,High_DF
环境,9,High_DF
二氧化碳,8,High_DF
石油,8,High_DF
非盈利,8,High_DF
招标,8,High_DF
转型,8,High_DF
电网,8,High_DF
技术,8,High_DF
电价,8,High_DF
新加坡,7,High_DF
地热能,7,High_DF
进口,7,High_DF
工业,6,High_DF
成本,6,High_DF
储能,6,High_DF
容量,6,High_DF
气候变化,6,High_DF
气候,6,High_DF
水电,6,High_DF
机构,6,High_DF
业务,6,High_DF
矿产,6,High_DF
电池,6,High_DF
装机,6,High_DF
来源,6,High_DF
生物,6,High_DF
森林,6,High_DF
风能,5,High_DF
柴油,5,High_DF
智库,5,High_DF
高达,5,High_DF
生产商,5,High_DF
新闻,5,High_DF
部署,5,High_DF
土地,5,High_DF
雅加达,5,High_DF
产量,5,High_DF
发电站,5,High_DF
化石,5,High_DF
产生,4,High_DF
排放量,4,High_DF
全国,4,High_DF
印度,4,High_DF
水电站,4,High_DF
生物质,4,High_DF
网讯,4,High_DF
混合,4,High_DF
澳大利亚,4,High_DF
设施,4,High_DF
加里曼丹,4,High_DF
装机容量,4,High_DF
液化,4,High_DF
法规,4,High_DF
供应,4,High_DF
监管,4,High_DF
投资者,4,High_DF
版权,4,High_DF
动力,4,High_DF
报告,4,High_DF
解决方案,4,High_DF
爪哇岛,4,High_DF
矿产资源,4,High_DF
水能,4,High_DF
生产,4,High_DF
日本,4,High_DF
结构,4,High_DF
行动,3,High_DF
燃油,3,High_DF
外媒,3,High_DF
岛屿,3,High_DF
棕榈油,3,High_DF
规划,3,High_DF
机制,3,High_DF
风力,3,High_DF
设备,3,High_DF
电池板,3,High_DF
苏拉威西,3,High_DF
运输,3,High_DF
