Keyword,Weight,Type
能源,77,High_DF
气候,41,High_DF
天然气,38,High_DF
转型,30,High_DF
发电,23,High_DF
绿色,23,High_DF
北溪,21,High_DF
技术,20,High_DF
汽车,19,High_DF
工业,18,High_DF
疫情,18,High_DF
管道,18,High_DF
氢能,17,High_DF
电力,15,High_DF
太阳能,15,High_DF
领导人,14,High_DF
贸易,12,High_DF
投资,12,High_DF
气候变化,12,High_DF
补贴,11,High_DF
电动汽车,10,High_DF
生产,10,High_DF
二氧化碳,10,High_DF
煤炭,9,High_DF
来源,9,High_DF
关系,8,High_DF
定价,8,High_DF
联合国,8,High_DF
大会,8,High_DF
核电,8,High_DF
环境,8,High_DF
出口,8,High_DF
进口,8,High_DF
风能,8,High_DF
制裁,8,High_DF
谈判,7,High_DF
数字化,7,High_DF
新冠,7,High_DF
新政府,7,High_DF
政党,7,High_DF
燃料,7,High_DF
风电,7,High_DF
核电站,7,High_DF
新闻,7,High_DF
电价,7,High_DF
智库,7,High_DF
数字,6,High_DF
燃料电池,6,High_DF
运输,6,High_DF
峰会,6,High_DF
外交,6,High_DF
电网,6,High_DF
风力,6,High_DF
新能源,6,High_DF
核能,6,High_DF
危机,5,High_DF
中德,5,High_DF
燃煤,5,High_DF
建筑,5,High_DF
法案,5,High_DF
风电场,5,High_DF
基金,5,High_DF
中欧,5,High_DF
氢气,5,High_DF
记者,5,High_DF
电动车,5,High_DF
脱碳,5,High_DF
转载自,5,High_DF
主义,5,High_DF
体系,5,High_DF
议院,4,High_DF
环球时报,4,High_DF
消息,4,High_DF
欧洲议会,4,High_DF
制氢,4,High_DF
工厂,4,High_DF
燃油,4,High_DF
佳闻,4,High_DF
生物,4,High_DF
宝马,4,High_DF
草案,4,High_DF
财经,4,High_DF
规定,4,High_DF
委员会,4,High_DF
资源,4,High_DF
福岛,4,High_DF
利益,4,High_DF
盟友,4,High_DF
成本,4,High_DF
框架,4,High_DF
内阁,4,High_DF
部长,4,High_DF
伯克,4,High_DF
排放量,4,High_DF
欧中,4,High_DF
基辅,4,High_DF
行动,3,High_DF
交易,3,High_DF
论坛,3,High_DF
对华政策,3,High_DF
中心,3,High_DF
电站,3,High_DF
物流,3,High_DF
加码,3,High_DF
建筑业,3,High_DF
交通部,3,High_DF
经济部,3,High_DF
讲话,3,High_DF
变革,3,High_DF
公约,3,High_DF
吉瓦,3,High_DF
大众,3,High_DF
法律,3,High_DF
保护法,3,High_DF
基础设施,3,High_DF
戴姆勒,3,High_DF
总台,3,High_DF
装机,3,High_DF
英国,3,High_DF
