Keyword,Weight,Type
意大利,51,High_DF
能源,22,High_DF
绿色,8,High_DF
技术,7,High_DF
报告,6,High_DF
氢能,6,High_DF
核电站,6,High_DF
太阳能,5,High_DF
煤炭,5,High_DF
成本,5,High_DF
发电,4,High_DF
汽车,4,High_DF
电动,4,High_DF
核能,4,High_DF
意大利共和国,3,High_DF
来源,3,High_DF
声明,3,High_DF
天然气,3,High_DF
电池,3,High_DF
车型,3,High_DF
兰博基尼,3,High_DF
标题,3,High_DF
交流,3,High_DF
循环,3,High_DF
进口,3,High_DF
新能源,3,High_DF
论坛,3,High_DF
环境,3,High_DF
二氧化氮,3,High_DF
工业,3,High_DF
品牌,3,High_DF
活动,3,High_DF
气候变化,3,High_DF
脱碳,3,High_DF
投资,3,High_DF
供应链,3,High_DF
热浪,2,Low_DF_Fill
媒体,2,Low_DF_Fill
联合国,2,Low_DF_Fill
风险,2,Low_DF_Fill
信息,2,Low_DF_Fill
销售,2,Low_DF_Fill
核废料,2,Low_DF_Fill
工厂,2,Low_DF_Fill
跑车,2,Low_DF_Fill
法拉利,2,Low_DF_Fill
内燃机,2,Low_DF_Fill
部长,2,Low_DF_Fill
禁令,2,Low_DF_Fill
制造商,2,Low_DF_Fill
