Keyword,Weight,Type
日本,336,High_DF
能源,170,High_DF
发电,116,High_DF
太阳能,79,High_DF
技术,70,High_DF
电力,54,High_DF
燃料,53,High_DF
汽车,48,High_DF
成本,45,High_DF
投资,37,High_DF
核电,36,High_DF
氢能,33,High_DF
核电站,32,High_DF
天然气,31,High_DF
绿色,31,High_DF
二氧化碳,30,High_DF
风力,28,High_DF
核能,28,High_DF
电池,27,High_DF
氢气,26,High_DF
福岛,25,High_DF
燃料电池,24,High_DF
脱碳,23,High_DF
新能源,23,High_DF
风电,22,High_DF
排放量,22,High_DF
煤炭,22,High_DF
气候变化,21,High_DF
电动汽车,21,High_DF
电力公司,20,High_DF
化石,19,High_DF
社会,19,High_DF
石油,18,High_DF
燃煤,18,High_DF
储能,18,High_DF
生产,16,High_DF
年度,15,High_DF
日本首相,15,High_DF
液化,15,High_DF
东京,15,High_DF
补贴,14,High_DF
日元,14,High_DF
环境,13,High_DF
丰田,13,High_DF
碳化,13,High_DF
发电量,12,High_DF
非盈利,12,High_DF
设施,12,High_DF
生物,11,High_DF
火力发电,11,High_DF
发电站,11,High_DF
电站,10,High_DF
运输,10,High_DF
混合,10,High_DF
销售,10,High_DF
转型,10,High_DF
来源,10,High_DF
产业省,10,High_DF
基本,10,High_DF
事故,10,High_DF
资源,10,High_DF
进口,10,High_DF
电动车,9,High_DF
疫情,9,High_DF
草案,9,High_DF
韩国,9,High_DF
设备,9,High_DF
氨气,9,High_DF
生物质,9,High_DF
电厂,9,High_DF
电网,9,High_DF
地热,8,High_DF
电源,8,High_DF
气候,8,High_DF
供应链,8,High_DF
新冠,8,High_DF
信息,8,High_DF
装置,8,High_DF
燃油,8,High_DF
船舶,8,High_DF
澳大利亚,8,High_DF
大会,8,High_DF
动力,8,High_DF
结构,8,High_DF
数字化,7,High_DF
联合国,7,High_DF
改革,7,High_DF
电价,7,High_DF
峰会,7,High_DF
网讯,7,High_DF
动力车,7,High_DF
循环,7,High_DF
微信,7,High_DF
安倍,7,High_DF
工厂,7,High_DF
川崎,7,High_DF
风能,7,High_DF
供应,7,High_DF
建筑,7,High_DF
住宅,7,High_DF
三井,6,High_DF
地方,6,High_DF
新建,6,High_DF
城市,6,High_DF
野田,6,High_DF
制氢,6,High_DF
会议,6,High_DF
屋顶,6,High_DF
施政,6,High_DF
普及,6,High_DF
全国,6,High_DF
关西,6,High_DF
反应堆,6,High_DF
能效,6,High_DF
海洋,6,High_DF
三菱,5,High_DF
制造商,5,High_DF
产生,5,High_DF
执政党,5,High_DF
咨询,5,High_DF
共同社,5,High_DF
约合,5,High_DF
人民币,5,High_DF
机制,5,High_DF
直人,5,High_DF
发电厂,5,High_DF
新闻,5,High_DF
对策,5,High_DF
机组,5,High_DF
垃圾,5,High_DF
颗粒,5,High_DF
网站,5,High_DF
财经,5,High_DF
汽油,5,High_DF
燃气,5,High_DF
版权,5,High_DF
业务,5,High_DF
交易,5,High_DF
东京都,5,High_DF
报告,5,High_DF
大阪,5,High_DF
标准,5,High_DF
汽油车,5,High_DF
制度,4,High_DF
小泉,4,High_DF
地热能,4,High_DF
北海道,4,High_DF
评估,4,High_DF
备忘录,4,High_DF
新车,4,High_DF
黔江,4,High_DF
证实,4,High_DF
金融,4,High_DF
能源行业,4,High_DF
海域,4,High_DF
依赖度,4,High_DF
容量,4,High_DF
组件,4,High_DF
路透社,4,High_DF
木材,4,High_DF
议定书,4,High_DF
费用,4,High_DF
装机容量,4,High_DF
活动,4,High_DF
材料,4,High_DF
核事故,4,High_DF
株式会社,4,High_DF
关系,4,High_DF
农业,4,High_DF
英国,4,High_DF
数字,4,High_DF
规划,4,High_DF
建议,3,High_DF
能耗,3,High_DF
航运业,3,High_DF
航空业,3,High_DF
网络,3,High_DF
