Keyword,Weight,Type
能源,39,High_DF
气候,18,High_DF
核电,18,High_DF
核能,17,High_DF
投资,17,High_DF
气候变化,16,High_DF
汽车,16,High_DF
生产,14,High_DF
巴黎,14,High_DF
绿色,14,High_DF
转型,13,High_DF
技术,13,High_DF
疫情,13,High_DF
电动汽车,11,High_DF
工业,11,High_DF
电池,11,High_DF
峰会,11,High_DF
动力,9,High_DF
马甲,9,High_DF
大会,9,High_DF
太阳能,9,High_DF
改革,9,High_DF
运动,8,High_DF
印度,8,High_DF
领导人,8,High_DF
电力,7,High_DF
天然气,7,High_DF
抗议,7,High_DF
生态,7,High_DF
电动,6,High_DF
亚洲,6,High_DF
工厂,6,High_DF
智能,6,High_DF
环境,6,High_DF
新冠,6,High_DF
氢能,5,High_DF
混合,5,High_DF
柴油,5,High_DF
部长,5,High_DF
风力,5,High_DF
风能,5,High_DF
英国,5,High_DF
外汇,5,High_DF
投网,5,High_DF
候选人,5,High_DF
发电,5,High_DF
右翼,4,High_DF
联合国,4,High_DF
二氧化碳,4,High_DF
航空,4,High_DF
农业,4,High_DF
远景,4,High_DF
机组,4,High_DF
勒庞,4,High_DF
社会,4,High_DF
科技,4,High_DF
中法,4,High_DF
核电站,4,High_DF
危机,4,High_DF
非洲,4,High_DF
行动,4,High_DF
疫苗,4,High_DF
机构,4,High_DF
莫迪,4,High_DF
爱丽舍宫,4,High_DF
电动车,3,High_DF
讲话,3,High_DF
制造商,3,High_DF
燃料,3,High_DF
飞机,3,High_DF
雷诺,3,High_DF
数字化,3,High_DF
海洋,3,High_DF
微信,3,High_DF
行情,3,High_DF
能源价格,3,High_DF
风向标,3,High_DF
碳税,3,High_DF
外交,3,High_DF
活动,3,High_DF
发电量,3,High_DF
结构,3,High_DF
议案,3,High_DF
路程,3,High_DF
航班,3,High_DF
融资,3,High_DF
人工智能,3,High_DF
电解槽,3,High_DF
纽埃,3,High_DF
服务,3,High_DF
难民,3,High_DF
燃油,3,High_DF
金融时报,3,High_DF
