Keyword,Weight,Type
能源,122,High_DF
沙特阿拉伯,90,High_DF
太阳能,75,High_DF
石油,72,High_DF
发电,52,High_DF
生产,44,High_DF
氢气,43,High_DF
绿色,43,High_DF
阿美,43,High_DF
投资,35,High_DF
技术,35,High_DF
燃料,30,High_DF
电力,30,High_DF
天然气,29,High_DF
非盈利,23,High_DF
阿齐兹,23,High_DF
原油,20,High_DF
工厂,17,High_DF
核电,17,High_DF
出口,17,High_DF
网讯,16,High_DF
氢能,16,High_DF
利雅得,15,High_DF
能源部长,15,High_DF
新能源,14,High_DF
风能,14,High_DF
中东,13,High_DF
转型,13,High_DF
招标,12,High_DF
核能,12,High_DF
能源部,12,High_DF
倡议,11,High_DF
工程,10,High_DF
制氢,10,High_DF
装机容量,10,High_DF
阿联酋,10,High_DF
亲王,10,High_DF
核电站,10,High_DF
化石,10,High_DF
绿氢,9,High_DF
空气,9,High_DF
吉瓦,9,High_DF
风力,9,High_DF
王储,9,High_DF
新闻,8,High_DF
来源,8,High_DF
风电,8,High_DF
蓝色,8,High_DF
发电厂,8,High_DF
王国,8,High_DF
排放量,7,High_DF
国王,7,High_DF
克虏伯,7,High_DF
论坛,7,High_DF
证实,7,High_DF
汽车,7,High_DF
运输,7,High_DF
气候变化,7,High_DF
电力公司,7,High_DF
发电量,7,High_DF
成本,7,High_DF
法利赫,7,High_DF
会议,6,High_DF
气候,6,High_DF
阿拉伯,6,High_DF
海水,6,High_DF
基础设施,6,High_DF
原子能,6,High_DF
社会,6,High_DF
韩国,6,High_DF
出口国,6,High_DF
规模,6,High_DF
日本,6,High_DF
城市,6,High_DF
科技,6,High_DF
里亚尔,6,High_DF
资源,6,High_DF
淡化,6,High_DF
愿景,5,High_DF
联合国,5,High_DF
海湾,5,High_DF
哈立德,5,High_DF
财经,5,High_DF
产量,5,High_DF
工业,5,High_DF
储能,5,High_DF
电站,5,High_DF
装机,4,High_DF
产生,4,High_DF
电解,4,High_DF
目的,4,High_DF
油价,4,High_DF
交易,4,High_DF
燃料电池,4,High_DF
液化,4,High_DF
备忘录,4,High_DF
援引,4,High_DF
投标,4,High_DF
专家,4,High_DF
欧佩克,4,High_DF
大国,4,High_DF
委员会,4,High_DF
多元化,4,High_DF
基金,4,High_DF
光热,4,High_DF
能力,4,High_DF
吉达,4,High_DF
信息,4,High_DF
矿产资源,4,High_DF
环境,4,High_DF
电厂,4,High_DF
私营部门,4,High_DF
反应堆,4,High_DF
电池,4,High_DF
数字,4,High_DF
合作伙伴,4,High_DF
机构,4,High_DF
设施,4,High_DF
风险,4,High_DF
中核,4,High_DF
二氧化碳,4,High_DF
框架,4,High_DF
结构,4,High_DF
