Keyword,Weight,Type
能源,414,High_DF
气候,186,High_DF
气候变化,174,High_DF
汽车,153,High_DF
太阳能,113,High_DF
新能源,108,High_DF
电动汽车,102,High_DF
技术,100,High_DF
天然气,99,High_DF
发电,93,High_DF
投资,93,High_DF
石油,80,High_DF
燃料,79,High_DF
煤炭,74,High_DF
白宫,68,High_DF
化石,66,High_DF
绿色,65,High_DF
标准,61,High_DF
电力,60,High_DF
成本,59,High_DF
二氧化碳,54,High_DF
制造商,51,High_DF
环境,50,High_DF
风电,48,High_DF
法案,47,High_DF
电池,46,High_DF
风能,45,High_DF
排放量,43,High_DF
补贴,43,High_DF
交易,43,High_DF
疫情,42,High_DF
生产,41,High_DF
电动车,40,High_DF
共和党,37,High_DF
风力,37,High_DF
加州,37,High_DF
燃煤,37,High_DF
储能,36,High_DF
民主党,35,High_DF
财经,34,High_DF
燃油,34,High_DF
指数,34,High_DF
新冠,32,High_DF
国会,32,High_DF
电动,32,High_DF
基础设施,32,High_DF
税收,31,High_DF
出口,30,High_DF
行动,29,High_DF
消费者,28,High_DF
关税,28,High_DF
电网,28,High_DF
巴黎,26,High_DF
转型,26,High_DF
联邦政府,26,High_DF
科技,24,High_DF
联合国,24,High_DF
贸易,23,High_DF
发电厂,22,High_DF
社会,22,High_DF
电厂,22,High_DF
进口,22,High_DF
环保署,21,High_DF
报告,20,High_DF
原油,20,High_DF
销量,20,High_DF
黄金,20,High_DF
新闻,20,High_DF
来源,19,High_DF
科学,19,High_DF
机构,19,High_DF
氢能,19,High_DF
日本,19,High_DF
微信,18,High_DF
英国,18,High_DF
混合,18,High_DF
疫苗,17,High_DF
法规,17,High_DF
油气,17,High_DF
车型,17,High_DF
建议,17,High_DF
电池板,17,High_DF
州长,16,High_DF
竞选,16,High_DF
股份,16,High_DF
涡轮机,16,High_DF
建筑,16,High_DF
委员会,16,High_DF
工作,16,High_DF
污染,15,High_DF
资源,15,High_DF
印度,15,High_DF
组件,15,High_DF
社区,14,High_DF
地球,14,High_DF
工厂,14,High_DF
通用汽车,14,High_DF
大会,14,High_DF
产生,14,High_DF
规划,14,High_DF
新政,14,High_DF
风险,13,High_DF
核能,13,High_DF
板块,13,High_DF
效率,13,High_DF
工业,13,High_DF
资讯,13,High_DF
全国,13,High_DF
美国能源部,13,High_DF
峰会,13,High_DF
规定,13,High_DF
美国能源,13,High_DF
生物,13,High_DF
记者,13,High_DF
监管,13,High_DF
科学家,12,High_DF
家庭,12,High_DF
销售,12,High_DF
福特,12,High_DF
油价,12,High_DF
中美,12,High_DF
公用事业,12,High_DF
参议员,12,High_DF
美国务院,12,High_DF
消费,12,High_DF
情况,12,High_DF
时代,12,High_DF
金价,12,High_DF
核电站,12,High_DF
土地,12,High_DF
城市,12,High_DF
期货,11,High_DF
碳税,11,High_DF
经济性,11,High_DF
海洋,11,High_DF
利益,11,High_DF
基金,11,High_DF
对华,11,High_DF
就业机会,11,High_DF
大量,11,High_DF
人类,11,High_DF
燃料电池,11,High_DF
外交,11,High_DF
纽约,11,High_DF
