Keyword,Weight,Type
能源,41,High_DF
绿色,35,High_DF
鲍里斯,31,High_DF
汽车,27,High_DF
投资,19,High_DF
电动汽车,19,High_DF
气候,16,High_DF
技术,15,High_DF
气候变化,14,High_DF
电力,13,High_DF
峰会,12,High_DF
英国首相,12,High_DF
氢气,11,High_DF
风电,11,High_DF
成本,10,High_DF
新能源,10,High_DF
太阳能,9,High_DF
发电,9,High_DF
伦敦,8,High_DF
氢能,8,High_DF
交易,8,High_DF
燃油,7,High_DF
生产,7,High_DF
天然气,7,High_DF
家庭,7,High_DF
电池,7,High_DF
风能,7,High_DF
二氧化碳,6,High_DF
风电场,6,High_DF
销售,6,High_DF
电动车,6,High_DF
新冠,6,High_DF
风险,6,High_DF
工厂,6,High_DF
动力,6,High_DF
格拉斯哥,5,High_DF
燃料,5,High_DF
补贴,5,High_DF
联合国,5,High_DF
工业,5,High_DF
疫情,5,High_DF
车型,5,High_DF
电网,5,High_DF
行动,5,High_DF
住宅,5,High_DF
电动,4,High_DF
自行车,4,High_DF
资讯,4,High_DF
混合,4,High_DF
倡议,4,High_DF
启动,4,High_DF
大会,4,High_DF
黄金,4,High_DF
港口,4,High_DF
财经,4,High_DF
风力,4,High_DF
脱碳,4,High_DF
核电,3,High_DF
核能,3,High_DF
首席,3,High_DF
森林,3,High_DF
新闻,3,High_DF
燃料电池,3,High_DF
充电站,3,High_DF
疫苗,3,High_DF
财政部,3,High_DF
